"api_number","operator_name","well_name","latitude","longitude","status","parent","cik","serialid"
"50009100220000","U S BUREAU OF MINES","HOUSTON CORE HOLE 1","61.6411693546999","-149.847644573745","I","",,"22"
"50009100230000","U S BUREAU OF MINES","HOUSTON CORE HOLE 2","61.6414756420288","-149.859408662926","I","",,"23"
"50009100240000","U S BUREAU OF MINES","HOUSTON CORE HOLE 3","61.6459332101765","-149.873333218517","I","",,"24"
"50009100240100","ANCHORAGE OIL AND GAS CO","HOUSTON CORE HOLE 3A",,,"I","",,"25"
"50009100259500","AUSTRAL OIL CO","FEDERAL 1-3XX","61.6750340741473","-149.263198768508","I","",,"26"
"50009200010000","PAN AMERICAN","BIG LAKE USA 1","61.4177573327378","-149.914214733228","I","BP PLC","313807","27"
"50009200020000","HILL PRODUCTION CO","FISHHOOK 1","61.6751653391483","-149.263078100867","I","",,"28"
"50009200030000","LOVELY LUM","BEAVER LAKES ST 1","61.6126863866363","-149.852651544593","I","",,"29"
"50009200039000","LITTLE BEAR PETROLEUM CORP","BEAVER LAKES ST 1-B","61.6126863866363","-149.852651544593","I","",,"30"
"50009200039100","HARBINGER OIL CORP","BEAVER LAKES ST 1-BXX","61.6019425655006","-149.852609495144","I","",,"31"
"50009200040000","AMERICAN QUASAR PETROLEUM CO","AM QUASAR BIG LK 1","61.5550447165297","-149.801071664735","I","",,"32"
"50009200050000","GREAT PLAINS (AMERICAN) INC","HORSESHOE LK ST 1","61.589210700907","-149.914797599176","I","",,"33"
"50009200060000","ARCO ALASKA INC","BIG LAKE BLT-01","61.5546016870556","-149.803165650115","I","BP PLC","313807","34"
"50009200069000","PIONEER NATURAL RESOURCES ALASKA INC","PIONEER UNIT BLT-01","61.5546016870556","-149.803165650115","I","PIONEER NATURAL RESOURCES","1038357","35"
"50009200080000","STATE OF ALASKA, DNR","ALASKA 94 CBM 1","61.6009498674265","-149.509803230453","I","",,"36"
"50009200090000","GROWTH RESOURCE INTERNATIONAL","HOUSTON 1","61.6332012977615","-149.819314287277","I","",,"37"
"50009200100000","GROWTH RESOURCE INTERNATIONAL","HOUSTON 2","61.632301592595","-149.823197292057","I","",,"38"
"50009200110000","GROWTH RESOURCE INTERNATIONAL","HOUSTON 3","61.6324520015511","-149.826760383148","I","",,"39"
"50009200120000","GROWTH RESOURCE INTERNATIONAL","HOUSTON 4","61.664695087634","-149.599948194951","I","",,"40"
"50009200150000","PIONEER NATURAL RESOURCES ALASKA INC","PIONEER UNIT 1702 15DA-WD","61.5604731855848","-149.602194790942","I","PIONEER NATURAL RESOURCES","1038357","41"
"50009200160000","PIONEER NATURAL RESOURCES ALASKA INC","PIONEER UNIT 1702 14CC","61.5590128255108","-149.596293755166","I","PIONEER NATURAL RESOURCES","1038357","42"
"50009200170000","PIONEER NATURAL RESOURCES ALASKA INC","PIONEER UNIT 1702 15DD","61.5572379847161","-149.603716159542","I","PIONEER NATURAL RESOURCES","1038357","43"
"50009200180000","GROWTH RESOURCE INTERNATIONAL","HOUSTON 22","61.6673203943022","-149.837324028195","I","",,"44"
"50009200190000","PIONEER NATURAL RESOURCES ALASKA INC","BERING 3","61.6187000164144","-149.511605114301","I","PIONEER NATURAL RESOURCES","1038357","45"
"50009200200000","PIONEER NATURAL RESOURCES ALASKA INC","BARANOF 4","61.6159133552722","-149.51131530269","I","PIONEER NATURAL RESOURCES","1038357","46"
"50009200210000","PIONEER NATURAL RESOURCES ALASKA INC","LOWELL 2","61.6171795197419","-149.516534460905","I","PIONEER NATURAL RESOURCES","1038357","47"
"50009200220000","PIONEER NATURAL RESOURCES ALASKA INC","COOK 1","61.6172451615832","-149.513997359541","I","PIONEER NATURAL RESOURCES","1038357","48"
"50009200230000","PIONEER NATURAL RESOURCES ALASKA INC","CORNHUSKER 4","61.5922872493393","-149.751121890154","I","PIONEER NATURAL RESOURCES","1038357","49"
"50009200240000","PIONEER NATURAL RESOURCES ALASKA INC","ROBERT L SMITH 3","61.5946008225389","-149.753797169523","I","PIONEER NATURAL RESOURCES","1038357","50"
"50009200250000","PIONEER NATURAL RESOURCES ALASKA INC","GARY JOANN STROMBERG 2","61.5963035649114","-149.744951980489","I","PIONEER NATURAL RESOURCES","1038357","51"
"50009200260000","PIONEER NATURAL RESOURCES ALASKA INC","D L SMITH 1","61.5946582516609","-149.74862938677","I","PIONEER NATURAL RESOURCES","1038357","52"
"50009200270000","EVERGREEN RESOURCES (ALASKA) CORPORATION","LITTLE SU NO. 1","61.6979242675345","-149.233175642154","I","",,"53"
"50009200280000","EVERGREEN RESOURCES (ALASKA) CORPORATION","HOUSTON PIT NO. 1","61.6406224222107","-149.846013326958","I","",,"54"
"50009200290000","PIONEER NATURAL RESOURCES ALASKA INC","WILLOW FISHHOOK 1","61.767716939764","-149.974348468067","I","PIONEER NATURAL RESOURCES","1038357","55"
"50009200300000","EVERGREEN RESOURCES (ALASKA) CORPORATION","SLATS 1","61.5627265942059","-149.687001542895","I","",,"56"
"50009200310000","STORM CAT ENERGY CORPORATION","NORTHERN DANCER NO. 1","61.591907123247","-149.916343882207","I","",,"57"
"50009200320000","FOWLER OIL  and  GAS LLC","KIRCHER 1XX","61.6171740503279","-149.229026383471","I","",,"58"
"50009200330000","LINC ENERGY OPERATIONS INC","LEA 1","61.4444578891822","-149.876174824931","I","",,"59"
"50019100010000","PAN AMERICAN","NAPATUK CK 1","60.6475456043066","-162.958534865726","I","BP PLC","313807","60"
"50019100020000","PAN AMERICAN","NAPATUK CK CORE 2","60.7573932451355","-162.775131296806","I","BP PLC","313807","61"
"50019100030000","PAN AMERICAN","NAPATUK CK CORE 2-A","60.752523172542","-162.760385216096","I","BP PLC","313807","62"
"50019100040000","PAN AMERICAN","JOHNSON RIV CORE 1","60.7716993993487","-162.31601650855","I","BP PLC","313807","63"
"50023100010000","U S DEPT OF INTERIOR","SIMPSON CORE TEST 21","71.0080555555556","-154.615","I","",,"64"
"50023100030000","U S DEPT OF INTERIOR","SIMPSON CORE TEST 24","71.0294444444445","-154.616944444444","I","",,"65"
"50023100040000","U S DEPT OF INTERIOR","N SIMPSON TEST WELL 1","71.0563888888889","-154.968333333333","I","",,"66"
"50023100050000","U S DEPT OF INTERIOR","BARROW CORE RIG TEST 1","71.3236111111111","-156.650555555556","I","",,"67"
"50023100060000","U S DEPT OF INTERIOR","BARROW CORE RIG TEST 2","71.3166666666667","-156.649722222222","I","",,"68"
"50023100070000","U S DEPT OF INTERIOR","BARROW BIG RIG TEST 1","71.3288888888889","-156.668333333333","I","",,"69"
"50023100080000","U S DEPT OF INTERIOR","ARCON BARROW C TEST 1","71.3277777777778","-156.666944444444","I","",,"70"
"50023100090000","U S DEPT OF INTERIOR","S BARROW TEST 1","71.2090939839243","-156.768868488532","I","",,"71"
"50023100100000","U S DEPT OF INTERIOR","S BARROW TEST WELL 02","71.2640289175785","-156.629703975422","I","",,"72"
"50023100110000","U S DEPT OF INTERIOR","S BARROW TEST WELL 03","71.165933992856","-156.579131361111","I","",,"73"
"50023100120000","NORTH SLOPE BOROUGH","S BARROWTEST WELL 04","71.2652574633958","-156.628010116931","A","",,"74"
"50023100130000","U S DEPT OF INTERIOR","AVAK TEST 1","71.2505555555556","-156.468333333333","I","",,"75"
"50023100140000","NORTH SLOPE BOROUGH","S BARROW TEST WELL 05","71.264236405318","-156.634038721166","I","",,"76"
"50023100150000","NORTH SLOPE BOROUGH","S BARROW TEST WELL 06","71.2631279839743","-156.616103620033","A","",,"77"
"50023200010000","NORTH SLOPE BOROUGH","S BARROW TEST WELL 07","71.2611896116771","-156.595108500465","A","",,"78"
"50023200019000","NORTH SLOPE BOROUGH","S BARROW NSB-07DP","71.2611896116771","-156.595108500465","I","",,"79"
"50023200020000","NORTH SLOPE BOROUGH","S BARROW 08","71.2664095663505","-156.59015796535","I","",,"80"
"50023200030000","NORTH SLOPE BOROUGH","S BARROW 09","71.2683643152053","-156.609143226309","A","",,"81"
"50023200040000","NORTH SLOPE BOROUGH","S BARROW 10","71.2591857943434","-156.626800942298","A","",,"82"
"50023200050000","NORTH SLOPE BOROUGH","S BARROW 11","71.2570017128826","-156.605814261921","I","",,"83"
"50023200060000","NORTH SLOPE BOROUGH","S BARROW 12","71.237975688393","-156.337491489582","A","",,"84"
"50023200070000","U S DEPT OF INTERIOR","IKO 1","71.1708482504688","-156.167973601048","A","",,"85"
"50023200080000","NORTH SLOPE BOROUGH","S BARROW 13","71.2538429850869","-156.627897985801","I","",,"86"
"50023200090000","NORTH SLOPE BOROUGH","S BARROW 14","71.2329986878011","-156.303062331542","A","",,"87"
"50023200100000","NORTH SLOPE BOROUGH","S BARROW 16","71.2824105865966","-156.54633704445","I","",,"88"
"50023200110000","NORTH SLOPE BOROUGH","S BARROW 17","71.2334764580226","-156.259535592722","I","",,"89"
"50023200120000","NORTH SLOPE BOROUGH","S BARROW 19","71.2415166393888","-156.333805936793","I","",,"90"
"50023200130000","NORTH SLOPE BOROUGH","WALAKPA 01","71.0993392585169","-156.884389753929","I","",,"91"
"50023200140000","USGS","W DEASE TEST WELL 1","71.1590703957751","-155.629224499213","A","",,"92"
"50023200150000","NORTH SLOPE BOROUGH","S BARROW 20","71.2325072669998","-156.336152739293","I","",,"93"
"50023200160000","NORTH SLOPE BOROUGH","S BARROW 15","71.2496331611835","-156.345033113398","I","",,"94"
"50023200170000","NORTH SLOPE BOROUGH","S BARROW 18","71.2397147676354","-156.311384812627","A","",,"95"
"50023200180000","USGS","TULAGEAK TEST WELL 1","71.1893338661573","-155.733562364822","A","",,"96"
"50023200190000","NORTH SLOPE BOROUGH","WALAKPA 02","71.0501174331925","-156.952688021209","I","",,"97"
"50023200200000","NORTH SLOPE BOROUGH","S BARROW NSB-01","71.2567095919986","-156.637989390858","A","",,"98"
